"Source:","/Users/keith/circuits/Common_Circuits/project/Common_Circuits.kicad_sch"
"Date:","Tuesday, October 15, 2024 at 08:13:14 PM"
"Tool:","Eeschema (6.0.2-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","16"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.01uf","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"","","C2","0.1uf","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"","","C3","10uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"","","D1","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"","","FREQ1","1M","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm","~"
"","","J3","DC IN","Connector:Jack-DC","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"","","J4","Audio Out","Connector:AudioJack2","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"","","PULSEWIDTH1","1M","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm","~"
"","","R1","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R2","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R3","10K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R4","4.7K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","SW2","ON/OFF","Switch:SW_SPST","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"","","U1","555","Timer:LM555xM","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"","","U2","555","Timer:LM555xM","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"","","VOLUME1","5K","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","0.01uf","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"2","1","C2","0.1uf","Device:C_Small","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"3","1","C3","10uf","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"4","1","D1","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"5","2","FREQ1, PULSEWIDTH1","1M","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm","~"
"6","1","J3","DC IN","Connector:Jack-DC","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"7","1","J4","Audio Out","Connector:AudioJack2","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"8","2","R1, R2","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"9","1","R3","10K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"10","1","R4","4.7K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"11","1","SW2","ON/OFF","Switch:SW_SPST","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","~"
"12","2","U1, U2","555","Timer:LM555xM","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm555.pdf"
"13","1","VOLUME1","5K","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm","~"
